January,32.72,21.25
February,-24.43,14.89
March,-12.16,-0.65
April,33.75,5.72
May,31.57,16.85
June,-6.21,-12.12
July,-17.69,14.28
August,13.07,3.84
September,-3.32,26.92
October,-24.94,19.49
November,23.58,16.3
December,19.29,31.78
