January,42.39,31.35
February,-13.42,52.39
March,-24.38,-40.27
April,21.99,26.02
May,21.85,-9.34
June,-13.66,0.33
July,-12.35,46.78
August,-0.89,20.37
September,4.92,22.65
October,-49.5,34.87
November,18.34,7.02
December,5.28,15.41
