January,0.59,0.65,0.0,0.0
February,-7.25,7.08,0.0,0.0
March,7.46,8.56,0.0,0.0
April,2.05,1.87,0.0,0.0
May,0.54,0.43,0.0,0.0
June,-5.35,-0.7,0.0,0.0
July,7.06,-5.86,0.0,0.0
August,2.39,-1.63,0.0,0.0
September,-3.39,2.4,0.0,0.0
October,10.63,-4.94,0.0,0.0
November,2.9,2.34,0.0,0.0
December,14.55,13.62,0.0,0.0
