January,36.25,35.88
February,-4.42,41.97
March,-9.84,-24.31
April,31.36,22.78
May,42.89,-8.76
June,-0.5,6.97
July,-12.71,18.36
August,2.45,54.55
September,-24.56,20.81
October,-41.91,46.03
November,40.45,26.18
December,31.68,38.67
