January,44.01,35.71
February,16.23,56.42
March,12.04,22.99
April,37.25,32.68
May,4.23,-3.91
June,-7.18,21.22
July,-28.72,47.01
August,-10.27,30.59
September,0.96,39.31
October,-39.13,22.33
November,10.21,27.97
December,10.3,14.55
