January,15.97,15.87
February,-0.64,5.04
March,1.95,-7.88
April,28.92,13.14
May,15.04,6.81
June,-10.17,0.68
July,3.59,-9.25
August,18.21,8.42
September,-8.69,8.04
October,3.86,-0.94
November,21.96,8.66
December,13.05,12.95
